id,r_x,r_y,r_z,v_x,v_y,v_z
51,-1.38094,1.06497,3.16584,-145095,-90762.3,-49512.7
52,0.384248,-1.20264,2.56208,58439.3,184884,59750.4
53,2.61542,1.9812,0.391829,111277,-156421,13241.3
54,1.98188,2.1159,1.98009,8402.75,-106065,144806
55,0.665071,-2.33249,1.90605,183811,-42971,-83056.2
56,-1.11726,0.371999,-3.07976,-43654.7,-189131,13354.9
57,2.29888,-2.25728,-0.119053,143296,120301,11225.5
58,-1.36437,-2.02842,-1.28382,-136545,9352.42,172310
59,-2.73329,-0.920805,-0.0290717,-73248.6,211514,5157.32
60,2.2881,0.559593,-1.60049,117743,-119445,145999
61,1.52567,-0.077056,2.19554,-156585,-63986.5,120248
62,0.90972,1.49367,-1.69302,-202257,116072,-33901.4
63,-2.12,0.761903,0.0678062,-43601.4,-224401,88095.2
64,-2.02943,-0.617817,-1.7253,42665.1,217778,-65860.3
65,-2.80507,1.10711,-0.365741,92845.4,186519,-10420.2
66,1.72083,0.311892,-1.12682,-87753.3,-143775,-127120
67,0.196021,2.15397,1.76854,208304,-14543.5,-57126.7
68,0.594696,1.59811,-1.27873,201930,-134238,-97480.2
69,-1.74898,-0.387295,0.195267,-36819.3,-44351.4,-269489
70,1.25114,-0.322615,-1.47928,-133957,-195550,-96376.5
71,-1.38049,0.95242,-2.05382,12882.2,227894,69262.8
72,1.78417,2.08127,-0.964671,-202907,75143.3,-43401.9
73,-2.65343,0.77941,0.593126,-32214.1,-199796,-85963.4
74,1.35756,2.54425,-0.000691213,-169870,107822,-640.886
75,0.555441,-1.33566,-1.58536,180912,176147,-75542.2
76,-1.04685,1.20077,1.9029,156254,157507,-53331.6
77,1.81832,2.12325,1.01573,168802,-93881.6,-56049.4
78,1.71948,1.71261,0.572185,-114957,186690,82606.5
79,2.56576,-0.85644,-1.19503,100189,85711.1,172218
80,-2.33441,-1.46307,1.0233,-123737,178581,23430.8
81,-1.28002,-1.8867,1.34549,11069.4,112339,167030
82,1.32202,1.4471,1.7872,-143552,175409,-77919.2
83,-1.1531,-0.284702,2.47496,126786,150113,100575
84,0.561856,-2.91649,0.820862,-139924,8619.29,158999
85,1.97875,-0.230824,2.15848,-81596.5,-174919,50129.8
86,2.75421,-0.684461,0.088282,37350.1,97294.2,-197647
87,-0.054455,-0.979227,-1.62638,270752,79624.6,-38275.9
88,-2.05614,-1.35386,-0.138889,-17420.7,-44295.3,229825
89,-0.771245,2.33367,0.133101,-219959,-129638,1030.85
90,3.025,-0.346382,0.0977291,1705.94,197498,1312.48
91,0.684902,-2.44449,0.309284,-203353,-16818.9,-112803
92,1.7711,0.1611,1.95384,-125141,-158791,124550
93,-2.76049,0.353647,0.0334701,-8955.46,225309,7815.36
94,-2.09495,0.812443,1.52912,69201.4,203664,-54678.7
95,-2.72043,0.306301,0.570366,-15743.1,162633,-143826
96,1.70156,-2.05872,-1.6707,-171264,-107579,-40332.9
97,1.69056,-1.41759,-0.448123,-172460,-193008,-21494.6
98,-2.69035,0.0616395,-1.16209,-39118.8,186125,98984
99,-1.47619,1.93593,0.874513,-204818,-96762.9,-33990.4
100,0.784312,-1.98889,0.123435,-238932,-106191,-1776.86
101,2.017,2.13152,0.886129,124377,-76860.2,-147637
102,-1.9875,-0.751331,0.411809,-63853.2,245717,37353.9
103,-0.133479,2.19123,0.0991947,251076,44702.8,20644.4
104,1.36103,-1.51849,-0.349283,207550,188136,74928.8
105,1.69723,-0.953811,0.92813,-124347,-241006,34734.5
106,-0.932512,0.966636,2.56698,-34345.3,-199261,83867.7
107,-0.617064,1.66705,2.14741,-184575,65258.1,-107524
108,-2.89391,0.129702,0.479803,53094.1,-68886.3,181594
109,1.19856,2.33634,-0.86212,198465,10397.1,121201
110,2.73433,-2.1903,0.0995921,57800.1,101804,-113381
111,0.574075,-2.08004,0.467342,249442,77783.4,-5116.74
112,1.01907,1.33908,-2.84116,-171902,-44100.9,-88090.3
113,0.753696,-3.12713,-0.0405984,-177676,-51421.3,19185.9
114,2.88941,0.728473,-0.269227,-51458.3,190785,7332.07
115,2.01233,1.53226,1.802,-121026,165391,43467.1
116,0.422522,1.28616,-1.35855,-214609,-48249.9,-138118
117,-2.30995,1.55504,0.829215,-2366.26,-19943.9,200597
118,-1.94772,1.12858,-0.396118,155769,223933,5953.18
119,0.791501,2.60985,-1.63814,200774,-28043.3,-1139.97
120,-0.438326,-2.9474,0.565733,-120460,-26587.4,-164031
121,0.930724,2.29729,-0.41072,198406,-122737,58954.8
122,-2.00241,1.44838,0.111692,70965,178810,-167224
123,2.03927,1.12929,0.261945,20026.9,48007.4,-254544
124,-1.93291,2.11062,0.307271,-144066,-138503,-2146.94
125,-1.512,1.82536,2.28526,-25223.1,133080,-139145
126,2.42851,-1.10123,0.563134,142755,163622,-81850.4
127,-1.88861,0.858255,0.660531,-131094,-190050,-107270
128,-0.889367,-0.98649,-2.59613,-109319,190606,-32895.1
129,2.06274,-1.83916,0.426742,-134042,-134589,87273.3
130,0.435437,-1.97512,0.423885,-272853,-48725,-25582
131,2.55093,1.46528,1.83075,-115400,11754.3,140631
132,-0.864583,-1.92065,-0.662149,-191387,101988,-119281
133,2.13904,0.292058,-1.54198,-101312,-148819,-150796
134,1.16737,0.959644,-1.60065,-32718.3,-215206,-123139
135,-0.0820601,-2.92132,-1.14644,-188105,-39534,71180.4
136,2.23659,-1.11244,1.23661,21607.9,132303,187771
137,1.16431,-1.49655,-2.00643,110281,-120355,123010
138,-0.221042,1.97001,-2.12896,-191022,-75254,-83342.8
139,1.76857,1.93977,-0.192322,-184023,150582,6172.97
140,0.0548198,0.719948,2.72347,147592,113835,-85292
141,0.254102,2.20012,0.679073,-230988,34046.3,-87232.4
142,-1.5258,0.392195,2.80594,-144446,-133599,-39133.7
143,-0.7774,0.220529,1.87569,195533,187617,64133.5
144,-3.18719,0.508504,0.212019,49575,152086,-115877
145,1.28556,1.69029,2.04348,-196347,40440.1,87387.6
146,1.05846,-0.342505,1.88624,-91806.2,238304,60127.9
147,2.39475,1.05715,0.324497,-98293.7,208384,-14511.1
148,-1.04377,-1.74122,-0.581142,168614,-143940,136080
149,-2.03279,-0.778694,-0.804854,-142304,179811,102771
150,0.783556,2.04147,-0.0574553,228612,-66947.5,-109804
151,0.309448,0.792961,3.2883,54999.9,169609,-56742.6
152,-1.28529,-1.47148,0.0710739,212108,-192126,-42.3823
153,1.39806,-2.12738,1.48998,185326,113275,-19184
154,1.799,0.601756,1.68948,-9021.16,-223270,65912.4
155,-1.18272,0.504483,2.464,-109697,178826,-96173.6
156,2.7199,1.0898,-0.170096,80626.6,-202140,-6280.28
157,0.45842,-1.18723,2.68155,190043,48763,7789.63
158,2.30237,-0.826557,-0.522325,70782.7,-13258.1,227134
159,2.68719,0.211347,-0.29609,58481.7,-204010,-50517.7
160,1.38893,2.9589,0.370411,178982,-66037.7,-38295.9
161,-0.392056,1.54595,1.05297,246405,76536.3,-51433
162,-1.23029,2.0336,0.907239,-110925,-7026.78,-184114
163,0.407751,-1.63659,-1.97522,193864,94915.1,4939
164,-0.918777,-2.24063,-0.0482359,159826,-77350.3,-154479
165,-0.994574,2.27345,-0.753178,-169861,-17274.3,126283
166,1.27744,-2.27959,-0.307746,-173078,-122129,10144.1
167,0.56723,-1.39706,1.18206,-194594,70614.4,167352
168,2.90428,0.0564767,1.05098,77589.8,-15448.6,-194555
169,0.38799,-0.558994,2.8817,100524,-187393,-32192.4
170,-1.13736,1.49619,-0.0587441,-218046,-156355,50787
171,-0.789955,-1.68093,-1.79734,-142664,-105931,169273
172,3.20226,-1.11781,0.146973,-64045.3,-165680,-38209.4
173,-1.78786,2.48253,0.742264,163096,96904.8,65393.1
174,0.128691,-2.59139,-0.68693,35996.3,-33706.4,231535
175,-0.130532,-0.32153,3.26787,14064.1,-195267,12758.2
176,1.46971,-1.38931,-0.783592,2646.21,117869,-256306
177,-1.2044,-2.03082,1.33327,-183904,42049.8,-133451
178,-1.35297,-2.00519,1.48252,-154966,154857,50131
179,-0.179096,0.558389,-1.11527,297486,-115295,-44752.2
180,-0.18825,-3.06392,0.90371,-145443,-18000.1,-139012
181,-2.58092,0.205406,0.11786,-31196.7,-239963,-48013.5
182,-1.28454,2.93042,0.407101,-181424,-58218.6,-68434.9
183,1.83311,-1.41607,-0.770157,28202.3,117609,-220725
184,0.555178,1.37928,2.28699,151452,-178249,29532
185,1.30012,-0.727746,-1.95875,-35724.5,-217453,19614
186,-2.85923,1.27705,-1.3435,89236.3,65332.6,-153748
187,0.0180851,-1.28276,-1.83799,46922.1,-164284,171600
188,0.852093,0.570767,-2.54896,-213123,-56077.5,-64993.3
189,-1.06355,2.98532,0.403108,-194439,-53801.2,19300.5
190,-1.66247,-0.210662,1.41292,160376,-28671.4,200565
191,1.40091,1.98178,-1.55576,191395,-38481.4,109975
192,-2.17436,0.571656,-0.938254,-2888.63,151264,167583
193,1.5433,1.49799,-0.231805,-139674,121510,191799
194,2.74054,0.71642,1.22637,50554.8,80192.9,-174368
195,-0.276422,-1.73572,2.87091,190101,-24626.4,18595.8
196,-2.20238,1.80609,0.404579,138422,147460,90005.6
197,0.633319,0.55416,-0.850437,279937,-3695.96,164486
198,2.93423,-1.9405,1.02754,38074.2,157506,65385.1
199,-2.72822,-0.879516,-1.19456,54087.4,102237,-175393
200,1.69169,-1.15162,-1.69574,19082.9,193446,-142928
201,0.016424,-2.99852,-2.14142,-118031,78065.1,-104200
202,1.17221,1.2271,2.10726,187620,13135.5,-82897.3
203,0.949584,-2.55936,-0.227795,-200992,-63683.8,17740.4
204,-1.99562,1.40942,0.00399985,133670,219213,17460.3
205,-1.18696,2.82294,-1.0518,-159542,-2854.16,120143
206,0.281756,-2.6886,0.437177,205265,33382.7,-8817.24
207,1.61799,2.06926,-0.844884,-77750.1,118153,154924
208,1.94137,2.59118,-0.548108,103952,-24190.8,163048
209,2.5147,-0.982119,0.71907,16457.8,-86448.9,-195722
210,0.101558,-1.68893,-2.77217,-174350,50202.9,-77621.5
211,2.06334,1.43015,-0.192425,-45962.8,144667,173032
212,2.02483,0.766337,-2.63032,99558.3,130099,92916.6
213,2.65921,1.55894,0.536082,63064.3,-181238,70450.3
214,-2.72764,0.192955,-0.0972465,28176.3,225619,5340.86
215,-0.868114,2.16723,-1.46397,-60090,-167904,-146623
216,1.70615,1.67651,0.950615,86344.9,-176573,142296
217,0.364947,1.4628,1.56311,-173854,-153890,126335
218,-3.04903,-0.530852,0.206308,13042.8,78894.1,189379
219,-2.95148,-0.872416,-0.9907,-75160.9,166079,78840.5
220,1.56213,2.08985,0.00591229,-116438,159549,111553
221,-1.51521,2.1186,0.64686,23605.2,-67562.2,220434
222,1.54791,-2.81573,-0.276304,-156782,-118173,-31646.7
223,1.20875,-2.57059,0.832065,-194621,-97146,-8062.44
224,0.093912,-2.67376,1.20642,-214780,873.566,20532.6
225,2.36741,-1.0721,-1.19139,-67136.5,-169663,108356
226,-0.205738,-0.388212,3.18572,43332.4,194632,21702.2
227,-0.249171,0.168526,-2.35397,178205,-144781,-64080.7
228,-1.50875,-1.07348,2.30437,65498.8,-182622,-69768.7
229,-1.22066,1.63678,-1.5175,-87054.9,118076,174592
230,0.651292,2.01624,0.708252,134388,69081.5,-198813
231,2.44238,1.17728,0.254326,59237.7,-169895,143231
232,-0.872219,-1.36931,1.38649,-198670,155799,43689.1
233,-0.525043,0.727603,1.95111,131071,-179143,128536
234,2.24207,-2.50435,-0.201685,-141359,-141782,-18053.6
235,-0.577835,-0.864232,-2.13682,158876,-177797,56782.1
236,-2.17234,0.9911,0.476068,72724.2,-12776.1,210515
237,-1.07371,-1.45944,-0.270165,-92892.2,54972.8,278519
238,1.34707,-1.02727,1.18687,-32073.2,-258954,-77167.8
239,0.560467,-2.23744,-1.7585,45858.2,-136446,168012
240,-3.67745,-0.337485,1.05438,18635,-152297,-51473.6
241,-0.00538788,0.407214,2.00918,117512,-217487,-39660.4
242,0.398812,2.68763,0.307414,222439,-34852.6,-50464.1
243,-3.50308,0.205254,-1.61266,26758.8,158744,-27369
244,0.198039,-2.49315,-1.6344,62549.4,98582.5,-155389
245,-2.18128,-0.276413,-0.699687,-32368.7,223043,116218
246,1.15004,3.0573,1.2417,-54236.4,82444.3,-153618
247,-1.68939,-1.22022,1.98299,-68560.7,-128800,-164064
248,-2.30531,-0.331617,-1.65429,-38006.1,197510,-15106
249,0.686891,0.846342,1.70857,232034,57932.5,-140326
250,1.28044,-3.11506,-0.964692,147157,75352.4,-84557.3
251,-1.89011,1.21654,1.8068,-36742,166643,-142279
252,-1.63686,1.29686,0.791462,58986.6,-89164.1,220380
253,-1.75416,-2.34857,-1.55722,-140127,18733.9,134582
254,2.18136,-0.749063,-2.06336,-134132,-114139,-103315
255,0.0977615,2.28593,1.35392,206899,21941.3,-8632.53
256,0.0446597,-1.41056,2.2228,-45275.4,-190789,-122452
257,-1.25039,2.41086,-0.321095,186009,98787.3,-98455.5
258,-1.68146,-2.32923,-0.224612,-9381.56,26832.9,-218714
259,0.095313,1.51788,-1.05289,-286510,56249.4,-11593.4
260,0.800465,0.9286,2.46821,-211741,21055.7,75550.4
261,-0.818386,-2.01912,1.47377,195934,-81559.6,34431
262,2.34758,1.37634,0.188386,56429.6,-122421,191123
263,1.35208,-1.28702,2.1808,-38747.7,-194531,-100709
264,2.08133,0.91117,-0.149011,47364,-228624,-23093.8
265,1.42708,1.26531,1.55589,210946,-70390.8,-104081
266,-2.80262,1.44647,-0.169127,-96442.3,-155499,-62389.9
267,-1.57379,-1.07936,0.221704,128709,-222582,41436.6
268,-2.79652,1.41596,1.60517,-87696.2,-98547.9,-126159
269,-0.165721,3.14545,0.00830763,-201598,-35758.7,440.415
270,2.63327,1.12429,-1.03594,-90410,190166,22386.5
271,1.72358,-1.9894,-0.481373,-166067,-123139,-76144.1
272,-1.86159,0.67963,0.540533,-83645.1,-258733,-4800.33
273,-0.0513479,-3.27883,-0.593432,-954.616,-25434.1,191733
274,-1.20588,-2.22666,-0.227705,68209.2,-9455.13,-221320
275,2.23119,-0.056642,-0.948718,-3194.05,-235934,63319.5
276,2.02646,0.146071,-0.547916,-53367.5,-127262,-231932
277,1.67758,-1.18325,2.44427,-87338.4,-182996,-6337.48
278,1.32277,0.406018,-2.25605,146507,138359,103495
279,-0.620811,2.53732,-0.511058,25445.7,-16892.9,-227029
280,1.56985,0.456449,-0.866295,-143161,173430,-206892
281,0.423833,2.60156,-0.562103,-204231,18149.6,-24254.8
282,-0.770092,-2.01001,-2.19262,55114.6,-160136,102184
283,-2.77134,-0.450586,-0.0289693,-12669.6,176397,-140751
284,1.01117,2.61343,0.0820441,200713,-79778.1,18011.5
285,-3.16411,-0.579094,-0.359134,41178.5,-172072,-91187.4
286,-2.72482,-0.503058,0.205855,-40991.1,220400,2861.06
287,-2.98653,-0.876854,-0.437576,-70408,180539,-64533.5
288,1.1406,-0.0681803,-2.72874,-130813,-151046,-48791.7
289,2.75667,-1.15564,0.196504,-38424.7,-72581.7,-190901
290,-2.25317,0.309914,0.993634,97222.9,122247,180494
291,1.06692,1.56725,2.42652,120708,113130,-129620
292,-0.00597761,0.798741,2.64346,-72027.6,-195344,65289.9
293,-0.906541,-2.27423,0.956838,202740,-89421.3,-75920
294,1.26824,-1.76529,2.34824,158128,-26702,-119045
295,-0.65219,3.11056,-0.639711,-75616.9,38363.4,173200
296,2.59427,0.274751,1.24446,-61165.4,-105538,157428
297,1.62343,1.3397,1.8242,136288,-164924,-38794.5
298,2.41561,0.0533848,-1.27975,-41534.3,214470,-202.468
299,2.2794,-0.372827,0.78729,31215.1,240931,-21677
300,0.288397,-1.86286,-1.56694,238782,-36555.3,33436.6
301,1.98857,-0.136937,0.682224,73921.2,120756,-224781
302,-2.04032,1.34029,-0.807178,-154353,-138880,80879.7
303,0.361,-2.16781,-0.454401,243883,889.348,73118
304,-0.130783,-2.74464,1.21492,210559,-2983.08,10078.7
305,2.46492,-0.130817,0.983473,75803.2,67784.9,-203679
306,-1.12346,-1.36947,-2.42123,-85764.2,190523,-44525.5
307,2.71,-1.64316,1.41912,-10302,128027,129163
308,-3.01722,-0.0537013,0.596146,-1074.36,181560,100959
309,2.36938,-0.522888,0.534102,59871.9,55127.5,-236209
310,0.891303,-1.09101,2.6084,-211615,-1963.27,53451.8
311,-1.51187,0.603845,-1.86665,-146211,-182033,13901.6
312,-1.65155,-0.60815,-2.8416,69120.2,-177266,-31579.5
313,-0.415142,-2.36754,-0.898788,222356,-44204.7,-63812.5
314,-1.23962,2.33184,-1.14986,96361.2,-54119.7,-171572
315,0.388584,-3.06419,-0.184251,-197488,-23377.5,15742.3
316,-3.35643,0.685863,-0.614652,-8836.36,-148403,-104075
317,-1.8609,1.53617,1.16902,-152173,-158436,-28664.3
318,-1.22762,1.15626,0.593714,-243219,-152741,-96846.6
319,1.51249,2.23163,1.86455,-125539,-13960.9,149673
320,2.64546,-1.55437,1.48367,91899.9,164842,-25637.6
321,1.57016,-0.102081,-2.04025,115078,-162565,120868
322,-1.37699,2.79449,-0.314972,167856,75640.7,-1761.19
323,2.12848,1.33895,-0.2139,104843,-185950,24393.9
324,1.65845,-0.795563,2.19523,30694.2,-190435,-111332
325,0.0799835,-2.2441,-0.4037,169719,44490.1,189139
326,0.0970996,0.751934,-1.89764,22152.1,-233034,-131301
327,-1.18451,0.848538,2.38411,-112067,138542,-142108
328,-0.104444,2.5845,0.0679125,192347,-35395.6,-127320
329,0.119853,2.51201,0.946923,175552,-37526,155693
330,-0.73958,2.11797,1.86581,-198198,-31308.9,12828.9
331,-2.98182,0.470717,0.657857,74399.7,68092.2,177814
332,1.25717,0.588912,2.60557,57568.7,-192470,12413.3
333,0.0689623,-2.68137,-0.901989,160891,46404,-134228
334,-1.99742,1.9207,-0.459705,123540,153962,73928.5
335,-1.38703,1.99486,-1.5528,-94599.7,-176182,-66004.7
336,2.85962,1.27297,-0.763556,90393.1,-65963.8,160065
337,2.16602,0.596841,-1.95199,-113775,-93047.3,-149895
338,-0.774385,2.65982,1.78268,189268,26324.9,3074.86
339,0.0612186,2.05763,0.95394,-249381,63167.1,-38117.2
340,0.230913,-2.65742,-0.498411,-222546,3027.73,-4244.13
341,-1.30863,2.05353,-0.214264,211609,131803,-58302.2
342,-0.699693,0.160994,-2.07401,110736,224969,-53667.3
343,-2.77423,-0.180205,-0.0201653,6669.63,126877,173451
344,0.0128017,3.5517,1.39715,94925.8,-38096.1,131111
345,1.88967,-0.815406,0.882588,-120950,-146459,144545
346,2.05536,-2.37687,0.689124,81984.9,128269,132317
347,-1.8549,-0.466779,-2.03233,35087.1,192571,-115479
348,1.89822,1.42126,0.49745,166394,-166342,13261.8
349,-3.0641,-0.760511,-1.76208,27602.7,-169021,46239.2
350,-2.40759,-2.16922,-0.526489,144777,-121956,22158.8
351,-2.03955,-0.80142,-0.329712,-110154,235100,-9988.75
352,-0.312053,0.172975,-2.04524,-263382,47348.7,66129.5
353,-2.08881,2.2099,-0.646175,152290,105975,-77461.1
354,-0.0164573,-1.16004,-2.68694,27443.7,182533,-94781.6
355,-0.0304597,-1.92519,0.794988,-251112,55466.8,73040.3
356,1.62619,0.74979,-1.74872,-118670,205941,16443.7
357,2.79669,0.644658,0.0679396,45495.7,-202509,-75255.4
358,-2.7992,0.246806,0.0938036,28855.7,191899,88677.7
359,-1.44597,-1.77893,-0.131716,-140691,180699,-112962
360,2.02011,-2.02871,0.00253852,-29567.7,-5924.09,203557
361,-0.638563,-2.16833,-1.35788,165555,-96210.3,106536
362,2.55515,1.32762,-0.184697,66078.5,-81758.4,-182817
363,1.44615,2.89189,-0.590459,170974,-71783.7,70349
364,-1.25454,0.959309,2.12373,135578,151884,-28910.9
365,1.83735,0.537752,-2.00852,-94154.8,201936,-19821
366,1.88461,-1.54401,0.024475,17591.9,-10053.3,241368
367,-2.03252,0.105528,1.08307,110516,-43186.4,209391
368,-1.77001,2.02209,-0.761269,181720,143563,16860.2
369,1.33087,-1.2418,2.77293,183787,65585.5,-23903.5
370,-0.590457,-1.8556,0.980376,193042,-147662,-71072.6
371,-1.01555,1.48344,1.76225,-186224,28285.9,-165998
372,-1.06303,-2.4295,0.087748,-177961,109005,-23077
373,-0.419071,-2.47185,-0.820248,238035,-21439.3,26773.4
374,-2.79287,-0.637609,-0.954542,23469.1,173221,-77752
375,-0.815163,2.61751,0.454537,184232,65234.1,44939.2
376,1.44692,1.24181,-2.67423,163029,-82229.4,70658.8
377,2.11109,1.10251,-0.965879,-60666.8,-83756.3,-222657
378,-1.16396,2.97416,1.19143,-180184,-53058.7,-22775.3
379,-0.259676,0.485056,2.87645,-193285,-86617.9,-58167.6
380,1.4971,2.80479,0.290716,184383,-74745.3,-18023.2
381,1.95694,1.41738,0.275068,84996.7,-168526,151587
382,-3.13734,-0.78855,-0.854303,-68835.4,171936,-47978.9
383,0.680815,-0.0520137,2.96905,-192992,63218.9,61015.8
384,-0.0852115,1.34836,-2.19291,70842.5,-191112,-113162
385,-0.728257,1.68917,-1.13489,-83013,117310,207194
386,-1.39338,1.21403,-1.90418,208782,88531.6,-83017.6
387,1.67782,-1.8136,-1.326,44864.3,161134,-155652
388,-0.697993,-1.68964,1.83306,123526,101837,133938
389,0.982208,-1.07134,2.35264,-61358.2,-192221,-90029.7
390,2.35694,-0.127404,-1.64706,-91473.5,-102061,-172691
391,0.188045,1.29181,2.92696,-203128,1896.03,-10391.4
392,-0.0477107,1.94416,0.226832,-287649,37080.9,2912.6
393,-2.96778,0.844383,-0.289454,8205.1,143181,-151744
394,1.30881,0.530522,-2.53729,156836,-150898,33195.9
395,0.859413,-0.651253,2.59871,56331.7,221079,3251.23
396,-2.14983,1.07621,1.87654,-70699.8,80109.3,-159910
397,2.13827,0.778518,1.72033,135060,-43564.9,-155973
398,1.2464,1.85656,1.74313,-115954,-38592.7,170981
399,-0.0740982,2.56931,1.42143,-192062,-57904.9,83716.9
400,-1.77416,-1.50833,1.13405,18181.7,122626,195745
401,0.636113,0.875481,2.08608,-154882,192138,-29612.6
402,-0.703522,0.938665,-2.15772,43589.7,-192379,-132152
403,-0.395073,2.01207,1.71061,-149099,89652.4,-136633
404,2.09101,-0.688857,-0.0553087,-6803.7,165827,188158
405,-2.97958,0.740945,-0.350176,-42024.3,-132416,-159058
406,-0.827241,2.73592,-1.13091,105319,90354,154023
407,-0.173013,2.7857,-0.268922,192927,7359.31,-120552
408,-2.79291,-2.12306,-0.0179455,-97914.9,142181,-23325.5
409,1.19546,-2.41435,-0.533305,-194563,-106098,34576.4
410,-0.988548,1.62124,-0.0575956,178453,142636,-171155
411,2.89243,-0.54655,-0.029005,-50744.2,-213306,-7308.52
412,-0.0209765,0.454784,3.12311,-103190,-176727,31260.8
413,-0.152094,-0.196351,-2.57073,-190348,123199,-14093.8
414,-2.2983,-0.536337,0.433536,59350.4,-240123,38121.4
415,-1.51193,-0.0610861,-1.92401,-137717,160662,124163
416,0.600847,-2.5385,0.97016,-214795,-48036.1,-62034
417,-0.125346,-2.0505,-0.400857,240813,23579.9,-95927.5
418,1.16726,1.15648,-2.45652,130422,-165281,-42910.4
419,-2.45005,-0.326093,-1.87618,125018,-45601.1,-164560
420,-1.28271,1.27557,-0.440254,192584,207003,55800
421,-2.73329,1.72891,-0.98495,114237,149487,-37127.5
422,1.01127,1.38942,0.575606,-246275,166800,50007.4
423,-0.13376,1.20604,2.68594,-17349.1,-191537,68715.8
424,0.834076,-0.0577583,2.59806,-163470,158031,47196.4
425,-0.19521,0.129568,3.21851,-163819,85322.2,-25533.3
426,-0.874358,2.49082,0.143383,226248,73505.2,18381
427,-0.819077,1.4965,-2.14273,187009,-89088.9,-81565.6
428,2.78194,-0.364875,1.45338,-9080.69,-198988,-29417.8
429,-1.08906,2.79042,1.55197,184173,57423.4,-673.024
430,-0.837459,-2.46437,-0.205179,84127.4,15521.7,-218954
431,-0.912631,2.36112,-0.911805,194132,104680,85306.8
432,-0.0826493,-3.00223,-1.14449,-182819,49716.1,-71038.5
433,0.130111,-0.805043,-3.59116,-108881,-130109,30538.6
434,1.18638,-1.56273,1.87845,-45292.3,-189373,-125523
435,-2.22063,-1.51041,-0.370136,-140474,180663,2614.85
436,-2.208,-1.19787,-1.04148,-139816,161004,35059.3
437,0.809549,1.21976,-2.53029,-177228,99319.6,33515.2
438,-0.306021,-2.61433,1.86253,-141402,83628.1,105725
439,0.0858337,-1.80778,0.00862585,-288927,-11143.2,-50098.7
440,0.300614,1.68519,-0.711567,-229089,112275,146951
